index,Area,Year,Maximum Values,Median
0,Argentina,2014,2208.0,2194.0
1,Australia,2009,7069.0,6370.0
2,Bangladesh,2019,135809.0,130371.0
3,Belize,2014,27690.0,16473.0
4,Bolivia (Plurinational State of),2019,18291.0,17339.0
5,Brazil,2010,1871961.0,1517696.0
6,Cameroon,2019,46.0,39.0
7,Chile,2014,3612.0,2955.0
8,China,2011,182655.0,158893.0
9,"China, Taiwan Province of",2011,151183.0,122272.0
10,"China, mainland",2019,41642.0,35054.0
11,Colombia,2009,185902.0,165788.0
12,Congo,2019,3953.0,3696.0
13,Cook Islands,2009,698.0,590.0
14,Costa Rica,2016,100000.0,80200.0
15,Cuba,2016,212579.0,178558.0
16,C̫te d'Ivoire,2019,18146.0,13420.0
17,Democratic Republic of the Congo,2011,227785.0,213967.0
18,Dominica,2014,83.0,82.0
19,Dominican Republic,2019,1171336.0,704786.0
20,Ecuador,2016,51065.0,45000.0
21,El Salvador,2009,71226.0,7947.0
22,Ethiopia,2018,59205.0,43658.0
23,Fiji,2014,5777.0,3174.0
24,Ghana,2019,6475.0,5561.0
25,Guatemala,2017,105356.0,70470.0
26,Guinea-Bissau,2019,3507.0,2937.0
27,Guyana,2018,16780.0,5860.0
28,Haiti,2015,101.0,100.0
29,Honduras,2013,7011.0,1121.0
30,India,2019,6050000.0,5544000.0
31,Indonesia,2019,986991.0,887580.0
32,Iran (Islamic Republic of),2014,323.0,143.0
33,Israel,2010,255.0,55.0
34,Jamaica,2019,10999.0,8582.0
35,Kenya,2019,140365.0,122458.0
36,Malawi,2019,64560.0,57880.5
37,Malaysia,2017,83797.0,52551.0
38,Maldives,2019,3256.0,1145.0
39,Mali,2018,67319.0,43690.0
40,Mexico,2019,1083133.0,836370.0
41,Morocco,2019,172.0,170.0
42,Mozambique,2012,45000.0,42992.0
43,Nauru,2018,2.0,2.0
44,Nepal,2010,31060.0,24702.0
45,Nigeria,2015,879278.0,840228.0
46,Oman,2019,5830.0,5708.0
47,Pakistan,2009,8732.0,6932.0
48,Panama,2010,8258.0,7726.0
49,Paraguay,2012,12000.0,11511.0
50,Peru,2010,186806.0,169437.0
51,Philippines,2009,176656.0,166336.0
52,Puerto Rico,2019,10175.0,8850.0
53,Rwanda,2012,6000.0,4458.0
54,Samoa,2009,3850.0,3438.0
55,South Africa,2016,15525.0,13739.0
56,Suriname,2019,854.0,713.0
57,Thailand,2010,211594.0,167073.0
58,Timor-Leste,2013,2498.0,1963.0
59,Trinidad and Tobago,2014,1799.0,1080.0
60,Tunisia,2019,74.0,70.0
61,United States of America,2009,14290.0,11610.0
62,Venezuela (Bolivarian Republic of),2019,199853.0,174907.0
63,Yemen,2014,26121.0,25117.0
64,Zimbabwe,2010,49.0,46.0
